id,X0h,X1h,X2h,X3h,X4h,X5h,X6h,X7h,Il.1b,Il.6,TNF,IFN.b,max_t,min_t
99,39,39.3,39.6,38.9,36.4,35.1,32.3,32.2,1.91338325,165.0704213,0.864699682,2.416666667,39.6,32.2
100,39,38.6,38.1,37.6,38.2,38.5,38.1,37.6,0.587378329,7.003687148,0.058283154,2.277777778,39,37.6
102,39,39.3,40.2,40.2,39.9,39.1,38.7,37.8,0.249340419,11.46216133,0.065633198,3.666666667,40.2,37.8
103,39,38.8,38.3,38.4,38.5,37.5,36.8,36.5,0.101288667,6.601015127,0.050471041,0,39,36.5
104,38.8,38.9,38.7,39.2,38.7,38.7,38.7,39,0.398107351,2.998297784,0.057305067,0,39.2,38.7
105,38.5,39.2,39.1,37.6,35.3,34.1,33,32.9,0.488595769,11.44934834,0.181813198,2.277777778,39.2,32.9
106,38.2,37.4,37.8,37.4,38.7,38.5,38.3,38.2,0.210086003,2.477877954,0.093631864,0.333333333,38.7,37.4
MOLF_190,38.1,38.9,39,39.1,38,35.7,34,33.6,NA,NA,NA,NA,39.1,33.6
MOLF_126,39.1,39.4,39.5,37.7,35.1,31.7,31,32.1,NA,NA,NA,NA,39.5,31
MOLF_102,38.2,39.1,39.5,39.8,39.3,38.5,37.4,35.2,NA,NA,NA,NA,39.8,35.2
MOLF_191.1,39.3,38.9,39.6,39.1,36.1,34.1,31.4,30.8,NA,NA,NA,NA,39.6,30.8
MOLF_191.2,39.5,39,39.2,39.3,35.8,34.3,31.7,31.1,NA,NA,NA,NA,39.5,31.1
B6_1,38.1,37.6,36.8,36.5,35.3,33.9,33.7,33,NA,NA,NA,NA,38.1,33
B6_2,38.4,37.6,37.5,35.7,33.9,32.6,31.9,30.5,NA,NA,NA,NA,38.4,30.5
B6_3,38,37.5,35.7,34.1,33.5,32.8,31.7,30.9,NA,NA,NA,NA,38,30.9
B6_4,38.6,37.5,36.7,36.9,36.5,35,34.6,32.8,NA,NA,NA,NA,38.6,32.8
B6_5,38,37.9,36.8,35.8,34.6,32.5,30.8,29.5,NA,NA,NA,NA,38,29.5
F1_21,38.9,38.4,38.8,39.4,39.3,39.5,39,38.6,NA,NA,NA,NA,39.5,38.4
F1_22,38.8,38.9,39.2,39.4,39.2,39.3,39.1,38.4,NA,NA,NA,NA,39.4,38.4
F1_23,38.7,38.9,39.1,39.6,39.2,39.7,39,38.5,NA,NA,NA,NA,39.7,38.5
F1_24,38.9,38.9,38.8,39.8,39.7,39.4,38.9,38.5,NA,NA,NA,NA,39.8,38.5
F1_25,38.1,38.3,38.7,39.6,39.3,39.4,38.7,38.7,NA,NA,NA,NA,39.6,38.1
